Date,Weekly Cases
Mar 29 2023,139991
Mar 22 2023,154244
Mar 15 2023,165489
Mar  8 2023,186958
Mar  1 2023,228417
Feb 22 2023,237297
Feb 15 2023,263106
Feb  8 2023,285321
Feb  1 2023,281505
Jan 25 2023,306647
Jan 18 2023,338956
Jan 11 2023,432643
Jan  4 2023,481206
Dec 28 2022,401975
Dec 21 2022,495767
Dec 14 2022,455486
Dec  7 2022,472554
Nov 30 2022,310928
Nov 23 2022,309649
Nov 16 2022,280917
Nov  9 2022,290669
Nov  2 2022,274452
Oct 26 2022,261235
Oct 19 2022,261104
Oct 12 2022,265567
Oct  5 2022,315213
Sep 28 2022,340985
Sep 21 2022,394220
Sep 14 2022,468957
Sep  7 2022,523956
Aug 31 2022,616486
Aug 24 2022,651009
Aug 17 2022,700626
Aug 10 2022,760744
Aug  3 2022,833561
Jul 27 2022,926538
Jul 20 2022,897572
Jul 13 2022,866530
Jul  6 2022,775075
Jun 29 2022,771182
Jun 22 2022,684163
Jun 15 2022,725984
Jun  8 2022,760321
Jun  1 2022,717066
May 25 2022,762836
May 18 2022,718264
May 11 2022,590246
May  4 2022,457254
Apr 27 2022,369910
Apr 20 2022,296263
Apr 13 2022,222380
Apr  6 2022,200101
Mar 30 2022,194135
Mar 23 2022,193820
Mar 16 2022,211819
Mar  9 2022,266591
Mar  2 2022,366976
Feb 23 2022,545627
Feb 16 2022,898251
Feb  9 2022,1486420
Feb  2 2022,2712008
Jan 26 2022,4407280
Jan 19 2022,5508250
Jan 12 2022,5492645
Jan  5 2022,4249670
Dec 29 2021,2131768
Dec 22 2021,1165835
Dec 15 2021,841163
Dec  8 2021,858622
Dec  1 2021,610209
Nov 24 2021,664796
Nov 17 2021,615925
Nov 10 2021,537950
Nov  3 2021,500521
Oct 27 2021,503542
Oct 20 2021,530417
Oct 13 2021,616703
Oct  6 2021,697477
Sep 29 2021,796554
Sep 22 2021,906003
Sep 15 2021,1048919
Sep  8 2021,1079326
Sep  1 2021,1177916
Aug 25 2021,1052064
Aug 18 2021,992196
Aug 11 2021,851192
Aug  4 2021,683078
Jul 28 2021,468203
Jul 21 2021,291737
Jul 14 2021,251653
Jul  7 2021,134473
Jun 30 2021,98741
Jun 23 2021,84343
Jun 16 2021,88254
Jun  9 2021,101955
Jun  2 2021,120788
May 26 2021,164698
May 19 2021,213321
May 12 2021,260664
May  5 2021,334660
Apr 28 2021,373366
Apr 21 2021,450197
Apr 14 2021,493720
Apr  7 2021,457380
Mar 31 2021,448143
Mar 24 2021,402049
Mar 17 2021,377725
Mar 10 2021,390907
Mar  3 2021,442075
Feb 24 2021,466776
Feb 17 2021,542624
Feb 10 2021,730761
Feb  3 2021,923010
Jan 27 2021,1132314
Jan 20 2021,1380922
Jan 13 2021,1718404
Jan  6 2021,1592944
Dec 30 2020,1312064
Dec 23 2020,1519936
Dec 16 2020,1543800
Dec  9 2020,1483181
Dec  2 2020,1180684
Nov 25 2020,1257245
Nov 18 2020,1116042
Nov 11 2020,895076
Nov  4 2020,652612
Oct 28 2020,521161
Oct 21 2020,430568
Oct 14 2020,360776
Oct  7 2020,310267
Sep 30 2020,298908
Sep 23 2020,292681
Sep 16 2020,275462
Sep  9 2020,259026
Sep  2 2020,284728
Aug 26 2020,294079
Aug 19 2020,349383
Aug 12 2020,399531
Aug  5 2020,412586
Jul 29 2020,455822
Jul 22 2020,458113
Jul 15 2020,423760
Jul  8 2020,358885
Jul  1 2020,298607
Jun 24 2020,210615
Jun 17 2020,156125
Jun 10 2020,147988
Jun  3 2020,143932
May 27 2020,146454
May 20 2020,157092
May 13 2020,160634
May  6 2020,188423
Apr 29 2020,198984
Apr 22 2020,198583
Apr 15 2020,206284
Apr  8 2020,217329
Apr  1 2020,150563
Mar 25 2020,58397
Mar 18 2020,7731
Mar 11 2020,1119
Mar  4 2020,108
Feb 26 2020,24
Feb 19 2020,15
Feb 12 2020,10
Feb  5 2020,11
Jan 29 2020,6
